[2024-02-19 18:39:05,126: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:39:05,128: INFO: common: created directory at: artifacts]
[2024-02-19 18:39:05,130: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:44:23,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:44:23,305: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:44:23,307: INFO: common: created directory at: artifacts]
[2024-02-19 18:44:23,308: INFO: common: created directory at: artifacts\training]
[2024-02-19 20:30:20,061: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 20:30:20,063: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 20:30:20,064: INFO: common: created directory at: artifacts]
[2024-02-19 20:30:20,066: INFO: common: created directory at: artifacts\training]
[2024-02-19 20:32:23,918: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 20:32:23,920: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 20:32:23,922: INFO: common: created directory at: artifacts]
[2024-02-19 20:32:23,923: INFO: common: created directory at: artifacts\training]
[2024-02-19 20:32:26,363: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 20:32:26,365: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 20:32:26,367: INFO: common: created directory at: artifacts]
[2024-02-19 20:32:26,368: INFO: common: created directory at: artifacts\training]
[2024-02-19 20:38:04,716: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 20:38:04,719: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 20:38:04,720: INFO: common: created directory at: artifacts]
[2024-02-19 20:38:04,722: INFO: common: created directory at: artifacts\training]
[2024-02-19 20:40:49,252: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 20:40:49,255: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 20:40:49,257: INFO: common: created directory at: artifacts]
[2024-02-19 20:40:49,258: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:02:03,023: INFO: stage_03_model_trainer: *******************]
[2024-02-19 21:02:03,023: INFO: stage_03_model_trainer: >>>>>> stage Training started <<<<<<]
[2024-02-19 21:02:03,025: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 21:02:03,025: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 21:02:03,026: INFO: common: created directory at: artifacts]
[2024-02-19 21:02:03,026: INFO: common: created directory at: artifacts\training]
[2024-02-19 21:02:03,029: ERROR: stage_03_model_trainer: No file or directory found at artifacts\prepare_base_model\base_model_updated.h5]
Traceback (most recent call last):
  File "d:\Projects\CNN-Chest-Cancer-Classification\src\cnnClassifier\pipeline\stage_03_model_trainer.py", line 30, in <module>
    obj.main()
  File "d:\Projects\CNN-Chest-Cancer-Classification\src\cnnClassifier\pipeline\stage_03_model_trainer.py", line 19, in main
    training.get_base_model()
